iter	Passed	Remaining
0	13	13554
1	28	14335
2	44	14656
3	58	14512
4	73	14563
5	87	14473
6	113	16092
7	128	15890
8	140	15440
9	152	15060
10	163	14705
11	177	14627
12	192	14595
13	206	14538
14	220	14505
15	235	14474
16	250	14484
17	264	14436
18	279	14409
19	288	14118
20	302	14096
21	317	14097
22	331	14096
23	346	14078
24	360	14061
25	374	14044
26	388	14009
27	402	13988
28	417	13990
29	432	13979
30	446	13970
31	461	13957
32	475	13928
33	490	13923
34	504	13912
35	519	13902
36	534	13907
37	548	13890
38	563	13873
39	576	13845
40	591	13823
41	605	13808
42	620	13801
43	634	13782
44	648	13767
45	661	13713
46	675	13696
47	690	13689
48	704	13673
49	719	13662
50	733	13644
51	746	13611
52	761	13600
53	775	13584
54	789	13566
55	805	13571
56	819	13557
57	834	13553
58	848	13526
59	862	13507
60	876	13497
61	891	13493
62	907	13499
63	921	13480
64	935	13455
65	950	13448
66	964	13430
67	979	13421
68	993	13409
69	1007	13384
70	1022	13380
71	1037	13367
72	1051	13356
73	1066	13348
74	1082	13345
75	1097	13339
76	1112	13331
77	1127	13325
78	1141	13308
79	1156	13301
80	1170	13281
81	1184	13258
82	1198	13238
83	1210	13204
84	1224	13183
85	1239	13170
86	1253	13157
87	1268	13146
88	1282	13127
89	1297	13116
90	1312	13106
91	1327	13099
92	1341	13083
93	1356	13070
94	1371	13060
95	1386	13051
96	1401	13044
97	1415	13030
98	1429	13013
99	1444	13000
100	1459	12990
101	1474	12980
102	1489	12971
103	1503	12955
104	1518	12942
105	1532	12925
106	1547	12911
107	1561	12896
108	1575	12881
109	1590	12867
110	1605	12858
111	1619	12839
112	1633	12824
113	1648	12811
114	1662	12797
115	1677	12781
116	1691	12767
117	1703	12733
118	1716	12709
119	1731	12699
120	1746	12686
121	1760	12673
122	1776	12663
123	1790	12651
124	1804	12632
125	1817	12608
126	1832	12593
127	1846	12581
128	1861	12570
129	1875	12553
130	1891	12546
131	1918	12612
132	1932	12598
133	1945	12575
134	1961	12565
135	1975	12552
136	1990	12539
137	2006	12533
138	2021	12523
139	2037	12514
140	2050	12495
141	2065	12482
142	2080	12470
143	2094	12449
144	2108	12433
145	2122	12412
146	2136	12399
147	2150	12380
148	2165	12368
149	2178	12342
150	2192	12325
151	2206	12307
152	2220	12289
153	2234	12274
154	2248	12256
155	2262	12242
156	2277	12230
157	2292	12216
158	2306	12197
159	2320	12180
160	2334	12164
161	2348	12149
162	2363	12136
163	2377	12120
164	2392	12104
165	2406	12090
166	2420	12074
167	2434	12055
168	2449	12043
169	2463	12029
170	2478	12015
171	2492	11998
172	2506	11983
173	2521	11968
174	2535	11954
175	2546	11923
176	2560	11907
177	2574	11889
178	2588	11871
179	2602	11856
180	2617	11841
181	2631	11828
182	2646	11814
183	2661	11803
184	2675	11785
185	2689	11770
186	2703	11753
187	2717	11738
188	2731	11719
189	2744	11699
190	2758	11685
191	2773	11672
192	2787	11656
193	2802	11645
194	2817	11629
195	2831	11616
196	2846	11604
197	2861	11589
198	2872	11560
199	2886	11547
200	2898	11521
201	2913	11507
202	2927	11491
203	2940	11474
204	2955	11460
205	2970	11449
206	2985	11436
207	2999	11421
208	3013	11406
209	3027	11390
210	3042	11378
211	3056	11361
212	3071	11349
213	3085	11333
214	3100	11319
215	3113	11302
216	3128	11286
217	3143	11276
218	3157	11261
219	3172	11247
220	3185	11230
221	3197	11206
222	3212	11191
223	3226	11178
224	3242	11167
225	3257	11154
226	3271	11139
227	3286	11126
228	3301	11116
229	3315	11100
230	3330	11087
231	3344	11071
232	3359	11057
233	3373	11043
234	3387	11026
235	3401	11010
236	3414	10993
237	3429	10979
238	3445	10972
239	3460	10956
240	3474	10941
241	3488	10926
242	3503	10913
243	3517	10898
244	3531	10881
245	3544	10864
246	3560	10854
247	3575	10842
248	3591	10830
249	3606	10819
250	3623	10813
251	3638	10799
252	3651	10781
253	3666	10768
254	3681	10756
255	3698	10749
256	3712	10734
257	3727	10719
258	3740	10700
259	3754	10687
260	3769	10674
261	3784	10660
262	3800	10650
263	3815	10637
264	3830	10623
265	3846	10613
266	3861	10600
267	3876	10587
268	3890	10572
269	3904	10556
270	3919	10543
271	3934	10530
272	3950	10519
273	3965	10505
274	3995	10533
275	4011	10523
276	4026	10510
277	4041	10496
278	4055	10479
279	4069	10465
280	4085	10453
281	4102	10444
282	4116	10429
283	4131	10415
284	4145	10399
285	4159	10383
286	4174	10371
287	4190	10358
288	4204	10343
289	4220	10332
290	4234	10317
291	4249	10303
292	4263	10287
293	4277	10271
294	4292	10258
295	4307	10244
296	4322	10230
297	4336	10216
298	4351	10201
299	4365	10187
300	4380	10172
301	4395	10158
302	4410	10145
303	4425	10131
304	4439	10116
305	4455	10104
306	4470	10091
307	4484	10076
308	4499	10061
309	4514	10048
310	4529	10034
311	4544	10020
312	4559	10008
313	4574	9994
314	4590	9983
315	4606	9969
316	4621	9958
317	4636	9942
318	4651	9930
319	4666	9916
320	4681	9902
321	4696	9889
322	4710	9872
323	4724	9858
324	4739	9844
325	4756	9833
326	4771	9819
327	4785	9805
328	4799	9789
329	4815	9776
330	4830	9763
331	4845	9750
332	4860	9735
333	4875	9722
334	4891	9709
335	4906	9696
336	4921	9682
